0,-2.68128734677136e-12
0.005,-2.66146938811012e-12
0.01,-2.64165853226897e-12
0.015,-2.62177817229379e-12
0.02,-2.60181725435053e-12
0.025,-2.58178833269711e-12
0.03,-2.5617037709203e-12
0.035,-2.54156936354161e-12
0.04,-2.52138604470195e-12
0.045,-2.50115290219185e-12
0.05,-2.48086896618119e-12
0.055,-2.46053372634793e-12
0.06,-2.44014703166252e-12
0.065,-2.41970887467763e-12
0.07,-2.39921925750263e-12
0.075,-2.37867815030037e-12
0.08,-2.3580854967353e-12
0.085,-2.33744122934543e-12
0.09,-2.31674527955428e-12
0.095,-2.29599758097331e-12
0.1,-2.27519806914613e-12
0.105,-2.25434668045827e-12
0.11,-2.23344335139165e-12
0.115,-2.21248801826393e-12
0.12,-2.19148061723657e-12
0.125,-2.17042108439191e-12
0.13,-2.14930935578868e-12
0.135,-2.12814536748259e-12
0.14,-2.10692905552668e-12
0.145,-2.08566035596603e-12
0.15,-2.06433920483383e-12
0.155,-2.04296553814987e-12
0.16,-2.02153929192064e-12
0.165,-2.0000604021398e-12
0.17,-1.9785288047886e-12
0.175,-1.9569444358362e-12
0.18,-1.93530723123974e-12
0.185,-1.91361712694449e-12
0.19,-1.89187405888393e-12
0.195,-1.87007796297991e-12
0.2,-1.84822877514273e-12
0.205,-1.82632643127132e-12
0.21,-1.80437086725336e-12
0.215,-1.7823620189654e-12
0.22,-1.76029982227302e-12
0.225,-1.73818421303094e-12
0.23,-1.71601512708316e-12
0.235,-1.69379250026309e-12
0.24,-1.67151626839373e-12
0.245,-1.64918636728772e-12
0.25,-1.62680273274756e-12
0.255,-1.60436530056569e-12
0.26,-1.58187400652466e-12
0.265,-1.55932878639724e-12
0.27,-1.53672957594657e-12
0.275,-1.51407631092632e-12
0.28,-1.49136892708076e-12
0.285,-1.46860736014499e-12
0.29,-1.44579154584501e-12
0.295,-1.42292141989786e-12
0.3,-1.39999691801181e-12
0.305,-1.37701797588645e-12
0.31,-1.35398452921286e-12
0.315,-1.33089651367371e-12
0.32,-1.30775386494346e-12
0.325,-1.28455651868844e-12
0.33,-1.26130441056704e-12
0.335,-1.23799747622982e-12
0.34,-1.21463565131965e-12
0.345,-1.19121887147189e-12
0.35,-1.16774707231448e-12
0.355,-1.14422018946812e-12
0.36,-1.12063815854641e-12
0.365,-1.09700091515595e-12
0.37,-1.07330839489656e-12
0.375,-1.04956053336135e-12
0.38,-1.02575726613692e-12
0.385,-1.00189852880346e-12
0.39,-9.77984256934922e-13
0.395,-9.54014386099164e-13
